"n","iso3","region_key"
"rjan57","WLF","enerdata56_rjan57"
"rjan57","WSM","enerdata56_rjan57"
"rom","ROU","enerdata56_rom"
"rsaf","AGO","enerdata56_rsaf"
"rsaf","ATF","enerdata56_rsaf"
"rsaf","BDI","enerdata56_rsaf"
"rsaf","BEN","enerdata56_rsaf"
"rsaf","BFA","enerdata56_rsaf"
"rsaf","BVT","enerdata56_rsaf"
"rsaf","BWA","enerdata56_rsaf"
"rsaf","CAF","enerdata56_rsaf"
"rsaf","CIV","enerdata56_rsaf"
"rsaf","CMR","enerdata56_rsaf"
"rsaf","COD","enerdata56_rsaf"
"rsaf","COG","enerdata56_rsaf"
"rsaf","COM","enerdata56_rsaf"
"rsaf","CPV","enerdata56_rsaf"
"rsaf","DJI","enerdata56_rsaf"
"rsaf","ERI","enerdata56_rsaf"
"rsaf","ETH","enerdata56_rsaf"
"rsaf","GAB","enerdata56_rsaf"
"rsaf","GHA","enerdata56_rsaf"
"rsaf","GIN","enerdata56_rsaf"
"rsaf","GMB","enerdata56_rsaf"
"rsaf","GNB","enerdata56_rsaf"
"rsaf","GNQ","enerdata56_rsaf"
"rsaf","IOT","enerdata56_rsaf"
"rsaf","KEN","enerdata56_rsaf"
"rsaf","LBR","enerdata56_rsaf"
"rsaf","LSO","enerdata56_rsaf"
"rsaf","MDG","enerdata56_rsaf"
"rsaf","MLI","enerdata56_rsaf"
"rsaf","MOZ","enerdata56_rsaf"
"rsaf","MRT","enerdata56_rsaf"
"rsaf","MUS","enerdata56_rsaf"
"rsaf","MWI","enerdata56_rsaf"
"rsaf","MYT","enerdata56_rsaf"
"rsaf","NAM","enerdata56_rsaf"
"rsaf","NER","enerdata56_rsaf"
"rsaf","NGA","enerdata56_rsaf"
"rsaf","REU","enerdata56_rsaf"
"rsaf","RWA","enerdata56_rsaf"
"rsaf","SDN","enerdata56_rsaf"
"rsaf","SEN","enerdata56_rsaf"
"rsaf","SHN","enerdata56_rsaf"
"rsaf","SLE","enerdata56_rsaf"
"rsaf","SOM","enerdata56_rsaf"
"rsaf","SSD","enerdata56_rsaf"
"rsaf","STP","enerdata56_rsaf"
"rsaf","SWZ","enerdata56_rsaf"
"rsaf","SYC","enerdata56_rsaf"
"rsaf","TCD","enerdata56_rsaf"
"rsaf","TGO","enerdata56_rsaf"
"rsaf","TZA","enerdata56_rsaf"
"rsaf","UGA","enerdata56_rsaf"
"rsaf","ZMB","enerdata56_rsaf"
"rsaf","ZWE","enerdata56_rsaf"
"rsam","BOL","enerdata56_rsam"
"rsam","COL","enerdata56_rsam"
"rsam","ECU","enerdata56_rsam"
"rsam","FLK","enerdata56_rsam"
"rsam","GUF","enerdata56_rsam"
"rsam","GUY","enerdata56_rsam"
"rsam","PER","enerdata56_rsam"
"rsam","PRY","enerdata56_rsam"
"rsam","SUR","enerdata56_rsam"
"rsam","URY","enerdata56_rsam"
"rsam","VEN","enerdata56_rsam"
"rsas","AFG","enerdata56_rsas"
"rsas","BGD","enerdata56_rsas"
"rsas","BTN","enerdata56_rsas"
"rsas","LKA","enerdata56_rsas"
"rsas","MDV","enerdata56_rsas"
"rsas","NPL","enerdata56_rsas"
"rsas","PAK","enerdata56_rsas"
"rsl","SVK","enerdata56_rsl"
"rus","rus","enerdata56_rus"
"slo","SVN","enerdata56_slo"
"sui","CHE","enerdata56_sui"
"swe","swe","enerdata56_swe"
"tha","tha","enerdata56_tha"
"tur","tur","enerdata56_tur"
"ukr","ukr","enerdata56_ukr"
"usa","usa","enerdata56_usa"
"vnm","vnm","enerdata56_vnm"
"zaf","zaf","enerdata56_zaf"
"arg","arg","enerdata35_arg"
"aus","aus","enerdata35_aus"
"bra","bra","enerdata35_bra"
"can","can","enerdata35_can"
"chl","chl","enerdata35_chl"
"chn","chn","enerdata35_chn"
"cor","KOR","enerdata35_cor"
"egy","egy","enerdata35_egy"
"eu","AUT","enerdata35_eu"
"eu","BEL","enerdata35_eu"
"eu","BGR","enerdata35_eu"
"eu","CYP","enerdata35_eu"
"eu","CZE","enerdata35_eu"
"eu","DEU","enerdata35_eu"
"eu","DNK","enerdata35_eu"
