"t";"n";"year";"MIU";"ABATECOST";"ABATECOST_ED";"ABATECOST_PB";"ABATEEMI";"C";"DAMAGES";"DAMFRAC";"E";"EIND";"I";"K";"S";"Y";"YGROSS";"L";"scc";"photel";"exp_id";"reg_n_id"
1;"gbr";2015;0;0;0;0;0;1,52940352423035;0,421962622218333;0,166666666666667;0,459414035087719;0,4138;0,580409586861318;6,36135531933395;0,2751;2,10981311109167;2,53177573331;64,178;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_gbr"
1;"golf57";2015;0;0;0;0;0;0,941321625746627;0,259710753413333;0,166666666666667;2,02011403508772;1,9745;0,35723214132004;2,67560089387919;0,2751;1,29855376706667;1,55826452048;193,468;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_golf57"
1;"grc";2015;0;0;0;0;0;0,13920502927507;0,03840668486;0,166666666666667;0,130334035087719;0,08472;0,05282839502493;0,70001998180222;0,2751;0,1920334243;0,23044010916;11,449;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_grc"
1;"hun";2015;0;0;0;0;0;0,0689993668722234;0,0190369338866667;0,166666666666667;0,0906440350877193;0,04503;0,02618530256111;0,291533054366819;0,2751;0,0951846694333334;0,11422160332;9,853;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_hun"
1;"idn";2015;0;0;0;0;0;0,31047394089558;0,08565979884;0,166666666666667;0,672814035087719;0,6272;0,11782505330442;0,887166728182349;0,2751;0,4282989942;0,51395879304;251,396;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_idn"
1;"irl";2015;0;0;0;0;0;0,1360571232614;0,0375381772;0,166666666666667;0,0817440350877193;0,03613;0,0516337627386;0,560103891553449;0,2751;0,187690886;0,2252290632;4,767;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_irl"
1;"ita";2015;0;0;0;0;0;1,09539532410704;0,30221970592;0,166666666666667;0,397514035087719;0,3519;0,41570320549296;5,04021682529229;0,2751;1,5110985296;1,81331823552;61,48;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_ita"
1;"jpn";2015;0;0;0;0;0;2,92731823256122;0,807647463805;0,166666666666667;1,29621403508772;1,2506;1,11091908646378;13,7762461117474;0,2751;4,038237319025;4,84588478283;126,105;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_jpn"
1;"meme";2015;0;0;0;0;0;0,186063072499682;0,0513348248033333;0,166666666666667;0,203274035087719;0,15766;0,070611051516985;0,55278646079386;0,2751;0,256674124016667;0,30800894882;46,522;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_meme"
1;"mex";2015;0;0;0;0;0;0,661700675014555;0,18256329839;0,166666666666667;0,519214035087719;0,4736;0,251115816935445;2,29390968333117;0,2751;0,91281649195;1,09537979034;119,973;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_mex"
1;"mys";2015;0;0;0;0;0;0,131491370380627;0,0362784854133333;0,166666666666667;0,300414035087719;0,2548;0,04990105668604;0,397368512979865;0,2751;0,181392427066667;0,21767091248;30,694;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_mys"
